trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
537,False,"{'a': 0.002, 'e': 0.34232318594378797}",30,14,-11.09485308244198,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
538,False,"{'a': 0.002, 'e': 0.34163922376206945}",20,10,6.239159385858686,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
539,False,"{'a': 0.002, 'e': 0.34095662813770156}",30,18,7.400644603202203,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
540,False,"{'a': 0.002, 'e': 0.3402753963403008}",30,0,-81.69331546090679,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
541,False,"{'a': 0.002, 'e': 0.3395955256449391}",25,14,12.526217456809821,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.002, 'e': 0.3389170133321328}",25,0,-40.975542351235106,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
543,False,"{'a': 0.002, 'e': 0.3382398566878317}",30,22,14.467989503043338,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.002, 'e': 0.33756405300340836}",20,0,-22.567117574295324,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
545,False,"{'a': 0.002, 'e': 0.33688959957564707}",25,15,-21.094379911126225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
546,False,"{'a': 0.002, 'e': 0.33621649370673334}",20,15,6.538485072440643,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
547,False,"{'a': 0.002, 'e': 0.3355447327042427}",35,21,11.056517783345186,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
548,False,"{'a': 0.002, 'e': 0.3348743138811302}",20,13,-10.077173188767057,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
549,False,"{'a': 0.002, 'e': 0.33420523455571977}",20,8,-60.0612343289084,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
550,False,"{'a': 0.002, 'e': 0.3335374920516932}",20,8,-5.641542445074567,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
551,False,"{'a': 0.002, 'e': 0.33287108369807955}",20,9,21.227322486782036,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.002, 'e': 0.33220600682924445}",20,5,12.88117835407725,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
553,False,"{'a': 0.002, 'e': 0.3315422587848797}",20,11,-12.477170825371143,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
554,False,"{'a': 0.002, 'e': 0.33087983690999206}",20,0,-47.15335537788818,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
